grid,train_AUC_C2_C5,train_AUC_C1_C2,train_AUC_C1_C5,val_AUC_C1,val_AUC_C5,val_AUC_C2,train_AUC_mean,val_AUC_mean
"{'alpha': 0, 'lambda': 3, 'learning_rate': 0.1, 'max_depth': 5}",1.0,1.0,1.0,0.6122448979591837,0.7237037037037036,0.7457627118644068,1.0,0.6939037711757647
"{'alpha': 0, 'lambda': 3, 'learning_rate': 0.1, 'max_depth': 6}",1.0,1.0,1.0,0.5984865856454941,0.7340740740740741,0.741140215716487,1.0,0.6912336251453518
"{'alpha': 0, 'lambda': 3, 'learning_rate': 0.1, 'max_depth': 7}",1.0,1.0,1.0,0.6067415730337079,0.7348148148148149,0.7406266050333847,1.0,0.6940609976273024
"{'alpha': 1, 'lambda': 1, 'learning_rate': 0.3, 'max_depth': 4}",1.0,1.0,1.0,0.6081174042650769,0.7377777777777778,0.7555213148433488,1.0,0.7004721656287344
"{'alpha': 1, 'lambda': 1, 'learning_rate': 0.3, 'max_depth': 5}",1.0,1.0,1.0,0.6149965604219216,0.7451851851851852,0.7899332306111968,1.0,0.7167049920727679
"{'alpha': 1, 'lambda': 1, 'learning_rate': 0.3, 'max_depth': 6}",1.0,1.0,1.0,0.6149965604219216,0.7311111111111112,0.7827426810477658,1.0,0.7096167841935995
"{'alpha': 1, 'lambda': 1, 'learning_rate': 0.3, 'max_depth': 7}",1.0,1.0,1.0,0.6149965604219216,0.7592592592592593,0.75346687211094,1.0,0.7092408972640403
"{'alpha': 1, 'lambda': 1, 'learning_rate': 0.2, 'max_depth': 4}",1.0,1.0,1.0,0.5987158908507223,0.7296296296296296,0.7498715973292244,1.0,0.6927390392698588
"{'alpha': 1, 'lambda': 1, 'learning_rate': 0.2, 'max_depth': 5}",1.0,1.0,1.0,0.5964228387984408,0.7318518518518518,0.783256291730868,1.0,0.7038436607937202
"{'alpha': 1, 'lambda': 1, 'learning_rate': 0.2, 'max_depth': 6}",1.0,1.0,1.0,0.5964228387984408,0.7333333333333333,0.746276322547509,1.0,0.692010831559761
"{'alpha': 1, 'lambda': 1, 'learning_rate': 0.2, 'max_depth': 7}",1.0,1.0,1.0,0.5964228387984408,0.7385185185185185,0.7750385208012327,1.0,0.7033266260393973
"{'alpha': 1, 'lambda': 1, 'learning_rate': 0.1, 'max_depth': 4}",1.0,1.0,1.0,0.5920660398991058,0.7474074074074074,0.7714432460195173,1.0,0.7036388977753435
"{'alpha': 1, 'lambda': 1, 'learning_rate': 0.1, 'max_depth': 5}",1.0,1.0,1.0,0.6129328135748682,0.7348148148148148,0.7750385208012327,1.0,0.7075953830636386
"{'alpha': 1, 'lambda': 1, 'learning_rate': 0.1, 'max_depth': 6}",1.0,1.0,1.0,0.6131621187800963,0.768148148148148,0.7544940934771444,1.0,0.7119347868017961
"{'alpha': 1, 'lambda': 1, 'learning_rate': 0.1, 'max_depth': 7}",1.0,1.0,1.0,0.6131621187800963,0.7481481481481482,0.7611710323574731,1.0,0.7074937664285725
"{'alpha': 1, 'lambda': 2, 'learning_rate': 0.3, 'max_depth': 4}",1.0,1.0,1.0,0.6143086448062371,0.7200000000000001,0.7868515665125835,1.0,0.7070534037729402
"{'alpha': 1, 'lambda': 2, 'learning_rate': 0.3, 'max_depth': 5}",1.0,1.0,1.0,0.6133914239853244,0.7274074074074075,0.7452491011813046,1.0,0.6953493108580121
"{'alpha': 1, 'lambda': 2, 'learning_rate': 0.3, 'max_depth': 6}",1.0,1.0,1.0,0.6133914239853244,0.7540740740740741,0.7272727272727272,1.0,0.6982460751107086
"{'alpha': 1, 'lambda': 2, 'learning_rate': 0.3, 'max_depth': 7}",1.0,1.0,1.0,0.6133914239853244,0.7548148148148148,0.7457627118644068,1.0,0.704656316888182
"{'alpha': 1, 'lambda': 2, 'learning_rate': 0.2, 'max_depth': 4}",1.0,1.0,1.0,0.6172896124742031,0.7244444444444444,0.7580893682588598,1.0,0.6999411417258358
"{'alpha': 1, 'lambda': 2, 'learning_rate': 0.2, 'max_depth': 5}",1.0,1.0,1.0,0.5994038064664068,0.7681481481481481,0.7370313302516692,1.0,0.7015277616220748
"{'alpha': 1, 'lambda': 2, 'learning_rate': 0.2, 'max_depth': 6}",1.0,1.0,1.0,0.6044485209814263,0.7548148148148148,0.7550077041602467,1.0,0.7047570133188293
"{'alpha': 1, 'lambda': 2, 'learning_rate': 0.2, 'max_depth': 7}",1.0,1.0,1.0,0.6044485209814263,0.72,0.7909604519774012,1.0,0.7051363243196093
"{'alpha': 1, 'lambda': 2, 'learning_rate': 0.1, 'max_depth': 4}",1.0,1.0,1.0,0.6211878009630818,0.7303703703703704,0.7544940934771445,1.0,0.7020174216035322
"{'alpha': 1, 'lambda': 2, 'learning_rate': 0.1, 'max_depth': 5}",1.0,1.0,1.0,0.6115569823434992,0.7451851851851852,0.7390857729840782,1.0,0.6986093135042543
"{'alpha': 1, 'lambda': 2, 'learning_rate': 0.1, 'max_depth': 6}",1.0,1.0,1.0,0.6115569823434992,0.7525925925925926,0.7560349255264509,1.0,0.7067281668208475
"{'alpha': 1, 'lambda': 2, 'learning_rate': 0.1, 'max_depth': 7}",1.0,1.0,1.0,0.6115569823434992,0.7266666666666666,0.7668207498715973,1.0,0.701681466293921
"{'alpha': 1, 'lambda': 3, 'learning_rate': 0.3, 'max_depth': 4}",1.0,1.0,1.0,0.6271497362990138,0.7577777777777778,0.7180277349768875,1.0,0.7009850830178931
"{'alpha': 1, 'lambda': 3, 'learning_rate': 0.3, 'max_depth': 5}",1.0,1.0,1.0,0.61270350836964,0.7444444444444444,0.7503852080123266,1.0,0.7025110536088036
"{'alpha': 1, 'lambda': 3, 'learning_rate': 0.3, 'max_depth': 6}",1.0,1.0,1.0,0.61270350836964,0.7533333333333333,0.7714432460195172,1.0,0.7124933625741635
"{'alpha': 1, 'lambda': 3, 'learning_rate': 0.3, 'max_depth': 7}",1.0,1.0,1.0,0.61270350836964,0.7570370370370371,0.7606574216743708,1.0,0.7101326556936827
"{'alpha': 1, 'lambda': 3, 'learning_rate': 0.2, 'max_depth': 4}",1.0,1.0,1.0,0.6188947489108002,0.7229629629629629,0.761171032357473,1.0,0.7010095814104121
"{'alpha': 1, 'lambda': 3, 'learning_rate': 0.2, 'max_depth': 5}",1.0,1.0,1.0,0.6234808530153634,0.7577777777777778,0.7693888032871083,1.0,0.7168824780267498
"{'alpha': 1, 'lambda': 3, 'learning_rate': 0.2, 'max_depth': 6}",1.0,1.0,1.0,0.6234808530153634,0.7592592592592593,0.7318952234206472,1.0,0.7048784452317566
"{'alpha': 1, 'lambda': 3, 'learning_rate': 0.2, 'max_depth': 7}",1.0,1.0,1.0,0.6234808530153634,0.7585185185185185,0.7760657421674371,1.0,0.7193550379004395
"{'alpha': 1, 'lambda': 3, 'learning_rate': 0.1, 'max_depth': 4}",1.0,1.0,1.0,0.6234808530153635,0.7414814814814815,0.7442218798151002,1.0,0.7030614047706485
"{'alpha': 1, 'lambda': 3, 'learning_rate': 0.1, 'max_depth': 5}",1.0,1.0,1.0,0.622792937399679,0.7459259259259259,0.7570621468926554,1.0,0.7085936700727534
"{'alpha': 1, 'lambda': 3, 'learning_rate': 0.1, 'max_depth': 6}",1.0,1.0,1.0,0.622792937399679,0.7437037037037038,0.7380585516178737,1.0,0.7015183975737521
"{'alpha': 1, 'lambda': 3, 'learning_rate': 0.1, 'max_depth': 7}",1.0,1.0,1.0,0.622792937399679,0.7333333333333333,0.7324088341037494,1.0,0.6961783682789205
"{'alpha': 2, 'lambda': 1, 'learning_rate': 0.3, 'max_depth': 4}",1.0,1.0,1.0,0.5707406558128869,0.7488888888888889,0.7282999486389317,1.0,0.6826431644469025
"{'alpha': 2, 'lambda': 1, 'learning_rate': 0.3, 'max_depth': 5}",1.0,1.0,1.0,0.6140793396010089,0.7392592592592593,0.7036466358500257,1.0,0.6856617449034313
"{'alpha': 2, 'lambda': 1, 'learning_rate': 0.3, 'max_depth': 6}",1.0,1.0,1.0,0.6140793396010089,0.7111111111111111,0.7395993836671803,1.0,0.6882632781264335
"{'alpha': 2, 'lambda': 1, 'learning_rate': 0.3, 'max_depth': 7}",1.0,1.0,1.0,0.6140793396010089,0.7207407407407407,0.7406266050333847,1.0,0.6918155617917114
"{'alpha': 2, 'lambda': 1, 'learning_rate': 0.2, 'max_depth': 4}",1.0,1.0,1.0,0.6062829626232515,0.717037037037037,0.7575757575757576,1.0,0.693631919078682
"{'alpha': 2, 'lambda': 1, 'learning_rate': 0.2, 'max_depth': 5}",1.0,1.0,1.0,0.5980279752350378,0.7362962962962963,0.7380585516178737,1.0,0.6907942743830692
"{'alpha': 2, 'lambda': 1, 'learning_rate': 0.2, 'max_depth': 6}",1.0,1.0,1.0,0.5980279752350378,0.74,0.7329224447868515,1.0,0.690316806673963
"{'alpha': 2, 'lambda': 1, 'learning_rate': 0.2, 'max_depth': 7}",1.0,1.0,1.0,0.5980279752350378,0.7288888888888889,0.7170005136106832,1.0,0.6813057925782035
"{'alpha': 2, 'lambda': 1, 'learning_rate': 0.1, 'max_depth': 4}",1.0,1.0,1.0,0.599862416876863,0.7081481481481482,0.7421674370826914,1.0,0.6833926673692341
"{'alpha': 2, 'lambda': 1, 'learning_rate': 0.1, 'max_depth': 5}",1.0,1.0,1.0,0.5945883971566155,0.7318518518518519,0.7154596815613765,1.0,0.6806333101899479
"{'alpha': 2, 'lambda': 1, 'learning_rate': 0.1, 'max_depth': 6}",1.0,1.0,1.0,0.5945883971566155,0.7503703703703704,0.7375449409347715,1.0,0.6941679028205859
"{'alpha': 2, 'lambda': 1, 'learning_rate': 0.1, 'max_depth': 7}",1.0,1.0,1.0,0.5945883971566155,0.7785185185185185,0.7360041088854649,1.0,0.7030370081868663
"{'alpha': 2, 'lambda': 2, 'learning_rate': 0.3, 'max_depth': 4}",1.0,1.0,1.0,0.614308644806237,0.7007407407407408,0.7616846430405753,1.0,0.6922446761958511
"{'alpha': 2, 'lambda': 2, 'learning_rate': 0.3, 'max_depth': 5}",1.0,1.0,1.0,0.6055950470075671,0.7051851851851852,0.7842835130970724,1.0,0.6983545817632749
"{'alpha': 2, 'lambda': 2, 'learning_rate': 0.3, 'max_depth': 6}",1.0,1.0,1.0,0.6055950470075671,0.7748148148148148,0.7693888032871085,1.0,0.7165995550364967
"{'alpha': 2, 'lambda': 2, 'learning_rate': 0.3, 'max_depth': 7}",1.0,1.0,1.0,0.6055950470075671,0.7466666666666667,0.7447354904982023,1.0,0.6989990680574786
"{'alpha': 2, 'lambda': 2, 'learning_rate': 0.2, 'max_depth': 4}",1.0,1.0,1.0,0.6237101582205916,0.7200000000000001,0.7591165896250642,1.0,0.7009422492818853
"{'alpha': 2, 'lambda': 2, 'learning_rate': 0.2, 'max_depth': 5}",1.0,1.0,1.0,0.6023847741343727,0.7259259259259259,0.7760657421674371,1.0,0.7014588140759118
