grid,train_AUC_C2_C5,train_AUC_C1_C2,train_AUC_C1_C5,val_AUC_C1,val_AUC_C5,val_AUC_C2,train_AUC_mean,val_AUC_mean
"{'C': 4, 'gamma': 'scale', 'kernel': 'rbf'}",1.0,1.0,1.0,0.7154322403118551,0.8740740740740742,0.7108371854134566,1.0,0.7667811665997953
"{'C': 4, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,0.9995880026367832,0.9999055356130738,0.7330887411144233,0.8711111111111111,0.7103235747303545,0.9998311794166189,0.7715078089852963
"{'C': 5, 'gamma': 'scale', 'kernel': 'rbf'}",1.0,1.0,1.0,0.7138271038752579,0.8718518518518519,0.7057010785824346,1.0,0.7637933447698483
"{'C': 5, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,1.0,1.0,0.726897500573263,0.8725925925925927,0.7154596815613765,1.0,0.7716499249090774
"{'C': 6, 'gamma': 'scale', 'kernel': 'rbf'}",1.0,1.0,1.0,0.7141710616831002,0.8718518518518519,0.7057010785824346,1.0,0.7639079973724622
"{'C': 6, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,1.0,1.0,0.7235725750974547,0.8681481481481481,0.7123780174627632,1.0,0.7680329135694554
