grid,train_AUC_C2_C5,train_AUC_C1_C2,train_AUC_C1_C5,val_AUC_C1,val_AUC_C5,val_AUC_C2,train_AUC_mean,val_AUC_mean
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': None, 'random_strength': 1}",1.0,1.0,1.0,0.6766796606282962,0.785925925925926,0.7334360554699537,1.0,0.7320138806747253
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': None, 'random_strength': 2}",1.0,1.0,1.0,0.6945654666360928,0.7874074074074074,0.7467899332306113,1.0,0.7429209357580371
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': None, 'random_strength': 3}",1.0,1.0,1.0,0.7009860123824811,0.7933333333333334,0.7483307652799178,1.0,0.7475500369985775
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': None, 'random_strength': 4}",1.0,1.0,1.0,0.7092409997706947,0.8044444444444445,0.7442218798151001,1.0,0.7526357746767465
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': 5, 'random_strength': 1}",1.0,1.0,1.0,0.6766796606282962,0.785925925925926,0.7334360554699537,1.0,0.7320138806747253
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': 5, 'random_strength': 2}",1.0,1.0,1.0,0.6945654666360928,0.7874074074074074,0.7467899332306113,1.0,0.7429209357580371
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': 5, 'random_strength': 3}",1.0,1.0,1.0,0.7009860123824811,0.7933333333333334,0.7483307652799178,1.0,0.7475500369985775
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': 5, 'random_strength': 4}",1.0,1.0,1.0,0.7092409997706947,0.8044444444444445,0.7442218798151001,1.0,0.7526357746767465
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': 10, 'random_strength': 1}",1.0,1.0,1.0,0.6766796606282962,0.785925925925926,0.7334360554699537,1.0,0.7320138806747253
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': 10, 'random_strength': 2}",1.0,1.0,1.0,0.6945654666360928,0.7874074074074074,0.7467899332306113,1.0,0.7429209357580371
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': 10, 'random_strength': 3}",1.0,1.0,1.0,0.7009860123824811,0.7933333333333334,0.7483307652799178,1.0,0.7475500369985775
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': 10, 'random_strength': 4}",1.0,1.0,1.0,0.7092409997706947,0.8044444444444445,0.7442218798151001,1.0,0.7526357746767465
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': 20, 'random_strength': 1}",1.0,1.0,1.0,0.6766796606282962,0.785925925925926,0.7334360554699537,1.0,0.7320138806747253
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': 20, 'random_strength': 2}",1.0,1.0,1.0,0.6945654666360928,0.7874074074074074,0.7467899332306113,1.0,0.7429209357580371
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': 20, 'random_strength': 3}",1.0,1.0,1.0,0.7009860123824811,0.7933333333333334,0.7483307652799178,1.0,0.7475500369985775
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': None, 'min_data_in_leaf': 20, 'random_strength': 4}",1.0,1.0,1.0,0.7092409997706947,0.8044444444444445,0.7442218798151001,1.0,0.7526357746767465
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': 0.2, 'min_data_in_leaf': None, 'random_strength': 1}",1.0,1.0,1.0,0.6665902315982573,0.7355555555555555,0.691833590138675,1.0,0.6979931257641626
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': 0.2, 'min_data_in_leaf': None, 'random_strength': 2}",1.0,1.0,1.0,0.6512267828479708,0.7525925925925926,0.6974833076527993,1.0,0.7004342276977876
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': 0.2, 'min_data_in_leaf': None, 'random_strength': 3}",1.0,1.0,1.0,0.6766796606282962,0.762962962962963,0.7139188495120699,1.0,0.7178538243677764
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': 0.2, 'min_data_in_leaf': None, 'random_strength': 4}",1.0,1.0,1.0,0.6922724145838111,0.7814814814814814,0.7298407806882383,1.0,0.7345315589178436
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': 0.2, 'min_data_in_leaf': 5, 'random_strength': 1}",1.0,1.0,1.0,0.6665902315982573,0.7355555555555555,0.691833590138675,1.0,0.6979931257641626
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': 0.2, 'min_data_in_leaf': 5, 'random_strength': 2}",1.0,1.0,1.0,0.6512267828479708,0.7525925925925926,0.6974833076527993,1.0,0.7004342276977876
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': 0.2, 'min_data_in_leaf': 5, 'random_strength': 3}",1.0,1.0,1.0,0.6766796606282962,0.762962962962963,0.7139188495120699,1.0,0.7178538243677764
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': 0.2, 'min_data_in_leaf': 5, 'random_strength': 4}",1.0,1.0,1.0,0.6922724145838111,0.7814814814814814,0.7298407806882383,1.0,0.7345315589178436
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': 0.2, 'min_data_in_leaf': 10, 'random_strength': 1}",1.0,1.0,1.0,0.6665902315982573,0.7355555555555555,0.691833590138675,1.0,0.6979931257641626
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': 0.2, 'min_data_in_leaf': 10, 'random_strength': 2}",1.0,1.0,1.0,0.6512267828479708,0.7525925925925926,0.6974833076527993,1.0,0.7004342276977876
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': 0.2, 'min_data_in_leaf': 10, 'random_strength': 3}",1.0,1.0,1.0,0.6766796606282962,0.762962962962963,0.7139188495120699,1.0,0.7178538243677764
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': 0.2, 'min_data_in_leaf': 10, 'random_strength': 4}",1.0,1.0,1.0,0.6922724145838111,0.7814814814814814,0.7298407806882383,1.0,0.7345315589178436
"{'depth': None, 'l2_leaf_reg': None, 'learning_rate': 0.2, 'min_data_in_leaf': 20, 'random_strength': 1}",1.0,1.0,1.0,0.6665902315982573,0.7355555555555555,0.691833590138675,1.0,0.6979931257641626
