grid,train_AUC_C2_C5,train_AUC_C1_C2,train_AUC_C1_C5,val_AUC_C1,val_AUC_C5,val_AUC_C2,train_AUC_mean,val_AUC_mean
"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_split': 2}",1.0,1.0,1.0,0.5889704196285256,0.5979859335038363,0.6171032357473035,1.0,0.6013531962932218
"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_split': 6}",0.9998504933718728,0.9997528015820699,1.0,0.5885118092180692,0.5968670076726343,0.615562403697997,0.9998677649846476,0.6003137401962335
"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_split': 10}",0.9978570716635105,0.9988464073829928,0.998524974857526,0.5785370327906444,0.5903132992327366,0.605803800719055,0.9984094846346764,0.591551377580812
"{'bootstrap': False, 'max_depth': None, 'max_features': 1.0, 'min_samples_split': 14}",0.9941194059603309,0.9961272247857613,0.998122695273215,0.5897729878468241,0.5821611253196931,0.6142783769902413,0.9961231086731024,0.5954041633855862
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2}",1.0,1.0,1.0,0.6014675533134601,0.6919757033248082,0.6345659989727788,1.0,0.642669751870349
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 6}",1.0,1.0,1.0,0.5968814492088972,0.7274616368286445,0.6414997431946585,1.0,0.6552809430774
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",1.0,1.0,1.0,0.5964228387984407,0.6985294117647061,0.5916795069337442,1.0,0.6288772524989636
"{'bootstrap': False, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 14}",1.0,1.0,1.0,0.6243980738362761,0.7055626598465473,0.6137647663071392,1.0,0.6479084999966541
"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2}",1.0,1.0,1.0,0.5827791790873653,0.665920716112532,0.6620441705187468,1.0,0.6369146885728814
"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 6}",1.0,0.9999999999999999,1.0,0.6146526026140793,0.7237851662404092,0.573703133025167,1.0,0.6373803006265518
"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10}",1.0,1.0,1.0,0.6583352442100435,0.6911764705882353,0.6142783769902413,1.0,0.65459669726284
"{'bootstrap': False, 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 14}",1.0,1.0,1.0,0.6085760146755331,0.7065217391304348,0.6271186440677966,1.0,0.6474054659579215
"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_split': 2}",1.0,1.0,1.0,0.5980279752350378,0.6000639386189258,0.6466358500256805,1.0,0.6149092546265481
"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_split': 6}",1.0,1.0,0.9999999999999999,0.5940151341435449,0.566656010230179,0.6587057010785825,1.0,0.6064589484841022
"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_split': 10}",1.0,1.0,1.0,0.60398991057097,0.6190856777493606,0.6389316897791474,1.0,0.620669092699826
"{'bootstrap': False, 'max_depth': None, 'max_features': 0.5, 'min_samples_split': 14}",1.0,1.0,1.0,0.6067415730337079,0.5850383631713555,0.6132511556240369,1.0,0.6016770306097001
"{'bootstrap': False, 'max_depth': None, 'max_features': 0.8, 'min_samples_split': 2}",1.0,1.0,1.0,0.5878238936023849,0.5442774936061381,0.6183872624550589,1.0,0.5834962165545273
"{'bootstrap': False, 'max_depth': None, 'max_features': 0.8, 'min_samples_split': 6}",1.0,1.0,1.0,0.5984865856454942,0.5506713554987213,0.6312275295326142,1.0,0.5934618235589432
"{'bootstrap': False, 'max_depth': None, 'max_features': 0.8, 'min_samples_split': 10}",1.0,1.0,1.0,0.583925705113506,0.5540281329923273,0.6255778120184899,1.0,0.5878438833747744
"{'bootstrap': False, 'max_depth': None, 'max_features': 0.8, 'min_samples_split': 14}",1.0,1.0,1.0,0.5934418711304746,0.5554667519181585,0.6214689265536724,1.0,0.5901258498674351
"{'bootstrap': False, 'max_depth': 3, 'max_features': 1.0, 'min_samples_split': 2}",0.8861756204525068,0.846901779828609,0.8670801206838752,0.6068562256363219,0.5009590792838874,0.5757575757575758,0.866719173654997,0.5611909602259284
"{'bootstrap': False, 'max_depth': 3, 'max_features': 1.0, 'min_samples_split': 6}",0.8861756204525068,0.846901779828609,0.8670801206838752,0.6070855308415501,0.5009590792838874,0.5798664612223935,0.866719173654997,0.5626370237826103
"{'bootstrap': False, 'max_depth': 3, 'max_features': 1.0, 'min_samples_split': 10}",0.8861756204525068,0.846901779828609,0.8670801206838752,0.6070855308415501,0.5009590792838874,0.5798664612223935,0.866719173654997,0.5626370237826103
"{'bootstrap': False, 'max_depth': 3, 'max_features': 1.0, 'min_samples_split': 14}",0.8722715040366791,0.846901779828609,0.8670801206838752,0.6066269204310938,0.5009590792838874,0.5798664612223935,0.8620844681830544,0.5624841536457915
"{'bootstrap': False, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 2}",0.9962124987541114,0.9987640079103495,0.9950385517934965,0.6294427883512956,0.7154731457800512,0.6029789419619929,0.9966716861526524,0.6492982920311132
"{'bootstrap': False, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 6}",0.9963121698395295,0.998022412656559,0.9926248742876299,0.6207291905526254,0.7020460358056266,0.6014381099126862,0.9956531522612395,0.641404445423646
"{'bootstrap': False, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 10}",0.9946177613874214,0.9994232036914964,0.9921555481059336,0.6069708782389359,0.7116368286445012,0.6322547508988188,0.9953988377282839,0.6502874859274186
"{'bootstrap': False, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 14}",0.9978072361208014,0.9985168094924193,0.9897418706000671,0.6014675533134602,0.7317774936061381,0.6209553158705701,0.9953553054044293,0.6514001209300562
"{'bootstrap': False, 'max_depth': 3, 'max_features': 'log2', 'min_samples_split': 2}",0.9952157878999303,0.9997528015820698,0.9910828025477707,0.6101811511121302,0.7062020460358056,0.5901386748844376,0.9953504640099237,0.6355072906774578
"{'bootstrap': False, 'max_depth': 3, 'max_features': 'log2', 'min_samples_split': 6}",0.9974085517791289,1.0,0.9877304726785117,0.6379270809447374,0.7081202046035805,0.6302003081664099,0.9950463414858802,0.6587491979049093
"{'bootstrap': False, 'max_depth': 3, 'max_features': 'log2', 'min_samples_split': 10}",0.9951161168145122,0.9985168094924193,0.9914180355346967,0.5844989681265765,0.7177109974424553,0.6353364149974319,0.9950169872805427,0.6458487935221545
"{'bootstrap': False, 'max_depth': 3, 'max_features': 'log2', 'min_samples_split': 14}",0.9916276288248779,0.9978576137112722,0.9833724438484748,0.5902315982572803,0.7116368286445013,0.6430405752439651,0.9909525621282084,0.6483030007152489
"{'bootstrap': False, 'max_depth': 3, 'max_features': 0.5, 'min_samples_split': 2}",0.9883384830060801,0.9908536585365852,0.9696278913845122,0.6218757165787664,0.5418797953964194,0.5901386748844376,0.9829400109757259,0.5846313956198744
"{'bootstrap': False, 'max_depth': 3, 'max_features': 0.5, 'min_samples_split': 6}",0.9869430878102262,0.9890408701384312,0.9742541066040898,0.6234808530153635,0.5516304347826088,0.6137647663071392,0.9834126881842491,0.5962920180350372
"{'bootstrap': False, 'max_depth': 3, 'max_features': 0.5, 'min_samples_split': 10}",0.9859463769560451,0.989452867501648,0.9703654039557493,0.6156844760376061,0.5709718670076727,0.5993836671802772,0.9819215494711475,0.5953466700751854
"{'bootstrap': False, 'max_depth': 3, 'max_features': 0.5, 'min_samples_split': 14}",0.9860460480414631,0.9826137112722478,0.9690915186054307,0.614308644806237,0.574168797953964,0.6060606060606062,0.9792504259730471,0.5981793496069358
"{'bootstrap': False, 'max_depth': 3, 'max_features': 0.8, 'min_samples_split': 2}",0.9682049237516196,0.9655158206987475,0.940026818638954,0.5926393029121761,0.48881074168797956,0.5988700564971751,0.9579158543631071,0.5601067003657768
"{'bootstrap': False, 'max_depth': 3, 'max_features': 0.8, 'min_samples_split': 6}",0.9713943984849995,0.972313777191826,0.9437479047938317,0.6006649850951616,0.5009590792838874,0.5893682588597843,0.9624853601568857,0.5636641077462777
"{'bootstrap': False, 'max_depth': 3, 'max_features': 0.8, 'min_samples_split': 10}",0.965115120103658,0.9703361898483849,0.9400938652363392,0.6007796376977758,0.49200767263427103,0.583975346687211,0.9585150583961273,0.558920885673086
"{'bootstrap': False, 'max_depth': 3, 'max_features': 0.8, 'min_samples_split': 14}",0.9647164357619854,0.9674934080421886,0.9410660408984244,0.5975693648245816,0.4996803069053708,0.5844889573703134,0.9577586282341994,0.5605795430334218
"{'bootstrap': False, 'max_depth': 5, 'max_features': 1.0, 'min_samples_split': 2}",0.9918269709957142,0.9672874093605801,0.9795843110962119,0.5843843155239624,0.48913043478260876,0.6040061633281972,0.9795662304841688,0.5591736378782562
